Algorithm,Map,Map Seed,Uncertainty,Number of Agents,Agent Seed,Runtime (secs),Success,Min SOC,Max SOC,CT Nodes,ODA* Nodes
ODA*,Circular,12345678, 1,10, 3218941136606334948, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 4280787012911107682,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 4280787012911107682, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 3143357702473947300,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 3143357702473947300, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 3269606750369806570,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 3269606750369806570, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 8518034653421018730,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 8518034653421018730, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 1625956147250477932,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 1625956147250477932, -1,0,-,-,-,-
CBS,Circular,12345678, 1,10, 4792157177789334565,-1,0,-,-,-,-
ODA*,Circular,12345678, 1,10, 4792157177789334565, -1,0,-,-,-,-
CBS,Open Map,12345678,1,10,2.94898E+18,11.30894876,1,69,82,3627,-
ODA*,Open Map,12345678,1,10,2.94898E+18,-1,0,-,-,-,-1
CBS,Open Map,12345678,1,10,3.41734E+17,0.038937092,1,66,85,18,-
ODA*,Open Map,12345678,1,10,3.41734E+17,4.587191582,1,66,85,-,5326
CBS,Open Map,12345678,1,10,8.01453E+18,0.05737257,1,59,68,51,-
ODA*,Open Map,12345678,1,10,8.01453E+18,44.70764613,1,59,69,-,66626
CBS,Open Map,12345678,1,10,8.43851E+18,-1,0,-,-,-1,-
ODA*,Open Map,12345678,1,10,8.43851E+18,-1,0,-,-,-,-1
CBS,Open Map,12345678,1,10,3.78485E+18,-1,0,-,-,-1,-
ODA*,Open Map,12345678,1,10,3.78485E+18,-1,0,-,-,-,-1
CBS,Open Map,12345678,1,10,9.20596E+18,0.006867886,1,63,75,7,-
ODA*,Open Map,12345678,1,10,9.20596E+18,0.155810833,1,63,75,-,176
CBS,Open Map,12345678,1,10,8.47489E+18,-1,0,-,-,-1,-
ODA*,Open Map,12345678,1,10,8.47489E+18,-1,0,-,-,-,-1
CBS,Open Map,12345678,1,10,6.2098E+18,18.71752214,1,68,87,5304,-
ODA*,Open Map,12345678,1,10,6.2098E+18,-1,0,-,-,-,-1
CBS,Open Map,12345678,1,10,3.96296E+18,0.009294033,1,64,81,10,-
ODA*,Open Map,12345678,1,10,3.96296E+18,0.924164295,1,64,81,-,1301
